mdl	fgspecies	bgspecies	om0	lnlm0	npm0	ombnfg	ombnbg	lnlbn	npbn	ombffg	ombfbg	lnlbf	npbf	pvalbfmo	pvalbfbn	inference
F1x4	Hippocampus_comes	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22724	-19531.002758	35	0.09567	0.24082	-19438.128316	36	5.28262705643086e-09	2.69346833598524e-42	intensification_of_purifying_selection
F1x4	Ictalurus_punctatus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22013	-19471.456131	35	0.21272	0.22851	-19455.115775	36	0.743001582657513	1.08609651661736e-08	nonsignificant
F1x4	Ictalurus_punctatus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22013	-19471.456131	35	0.21272	0.22851	-19455.115775	36	0.743001582657513	1.08609651661736e-08	nonsignificant
F1x4	Lepisosteus_oculatus	Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22051	-19467.871981	35	0.16658	0.23068	-19454.372965	36	0.206880083596905	2.03662713763181e-07	nonsignificant
F1x4	Lepisosteus_oculatus	Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22051	-19467.871981	35	0.16658	0.23068	-19454.372965	36	0.206880083596905	2.03662713763181e-07	nonsignificant
F1x4	Maylandia_zebra	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22421	-19479.925517	35	0.27116	0.22586	-19454.625019	36	0.296688890754968	1.13187585863069e-12	nonsignificant
F1x4	Maylandia_zebra	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22421	-19479.925517	35	0.27116	0.22586	-19454.625019	36	0.296688890754968	1.13187585863069e-12	nonsignificant
F1x4	Monopterus_albus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22253	-19462.195061	35	0.36595	0.2239	-19452.397532	36	0.018544234161756	9.57164636077768e-06	relaxed_selection
F1x4	Monopterus_albus	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Oncorhynchus_mykiss,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22253	-19462.195061	35	0.36595	0.2239	-19452.397532	36	0.018544234161756	9.57164636077768e-06	relaxed_selection
F1x4	Oncorhynchus_mykiss	Lepisosteus_oculatus,Xiphophorus_maculatus,Poecilia_mexicana,Fundulus_heteroclitus,Oryzias_latipes,Stegastes_partitus,Maylandia_zebra,Monopterus_albus,Anabas_testudineus,Perca_flavescens,Hippocampus_comes,Salmo_trutta,Ictalurus_punctatus,Danio_rerio,Sinocyclocheilus_grahami,Clupea_harengus,Erpetoichthys_calabaricus	0.22782	-19455.169528	35	1	0.22625	-19455.551987	35	0.39982	0.22689	-19454.577355	36	0.27647300902745	0.162666183814102	nonsignificant
